vertex_num,face_num
4074,7268
25520,48730
3890,7040
22247,42899
10952,19942
9341,17150
9894,19094
7909,15350
8571,15650
14200,27426
15164,28815
13319,25623
13294,25682
18447,34780
14253,27674
8124,14786
14620,27478
12259,22250
11674,21616
8307,15914
15449,27690
12544,23888
7721,14606
14935,28123
8544,16439
31239,60346
7667,13976
18343,35339
2903,5178
10619,20348
17105,32148
9486,17540
3810,6808
12247,23680
11302,20825
17027,32098
15064,28326
14570,27026
8122,15288
21135,40026
12297,22815
8094,14500
10669,19598
24203,46102
13206,25363
13181,24818
15363,27928
23814,43909
10515,20290
7452,14100
8816,17103
21961,42136
10288,18878
6930,12580
39518,74745
7321,13826
9587,18462
6137,11188
3021,5716
11193,20964
21529,40792
3701,7033
9953,18584
25700,49477
3046,5336
13814,25069
17500,33218
3717,6560
12208,22428
6083,11442
11126,20224
10511,20214
35309,68002
4882,8922
10848,20108
13819,26490
1994,3697
10439,19584
8319,15742
19283,36879
19283,36879
14832,28264
21857,41771
20032,37071
13999,26423
18707,34836
15946,31023
19121,33991
7497,14280
11869,22402
42521,82992
14579,27834
13211,24530
16443,30525
8630,15848
10066,18806
8880,16054
3904,7198
15178,28302
15430,28972
18707,34836
8640,16437
6085,11395
15050,28378
8027,14848
21953,41774
17115,32200
14758,28366
2928,5001
6364,11798
6681,12002
6537,12278
12842,24178
21953,41774
15428,29692
12258,22702
8065,15158
6564,11816
10942,20464
10276,18854
3796,6702
13395,25496
14085,25896
5827,10765
40137,77335
13441,24119
10519,19810
15359,27920
20420,38613
8368,15124
19491,36645
23992,44401
5739,10528
3057,5485
17486,32114
13471,25814
17797,33502
14585,27136
6526,11850
13236,25530
25054,48251
3759,6656
7541,14438
16545,31684
10521,19262
23568,44343
15978,29618
13387,25492
5352,9480
9806,18102
7999,14890
18346,35332
17796,31460
13289,24812
56443,109060
13907,25141
5114,9062
4443,7853
43012,84052
11507,20985
38470,72708
6014,11380
5784,11031
10345,18851
18373,34807
21000,39843
559,676
14778,27316
8190,14668
9234,17850
48377,93970
3301,5978
16766,31514
19385,36624
13920,26342
21551,40896
23629,44471
14820,28591
35805,68726
4674,8706
22452,43080
14589,27564
6524,12006
14002,26102
7831,14088
6362,11406
19094,34708
43347,83852
15732,28904
8838,17049
19083,35718
21587,41016
15178,27932
9082,16527
20776,39066
9122,16950
13254,24449
10521,19512
43884,85154
15225,28254
1738,3175
10456,19404
21168,39708
20189,36932
14849,28634
6257,11531
14655,27983
11868,21922
6962,13494
12475,23670
8059,15193
26631,51308
9154,17475
7931,14440
17626,33492
13379,24180
6654,12585
25092,48134
6654,12258
21220,40212
17994,34171
9544,18190
11527,21424
23597,45164
21680,40442
5329,9986
13036,24223
18498,34746
8881,16268
2411,4185
14626,27357
17007,31866
14270,27094
27785,53329
14727,27818
19801,37897
16047,29714
16388,30794
15273,28488
18144,34138
18487,34386
10280,18748
18684,35235
4727,8830
20847,38784
23958,45335
10690,20278
2197,3811
9545,17566
22932,43362
56053,107431
10392,19711
5305,9896
8920,15999
31312,60312
29633,56720
8307,15454
13872,25805
11164,21664
24332,45195
2859,5126
10802,20190
15911,29840
27194,52064
2269,4209
7583,13907
9000,16860
10711,20622
14442,27667
20296,38511
16387,30390
29727,54020
7514,14276
20734,38550
19418,37838
16301,31355
5647,10584
6987,12558
9398,16926
21529,40861
14571,27158
25708,48330
24232,45548
5960,10766
7997,14628
8915,16946
41886,79088
14571,27158
3393,5928
50131,98312
9224,17211
8093,14884
4238,7997
22353,41434
10197,18756
11997,21802
9783,17695
13306,25219
33646,65306
6503,12198
21116,38898
19707,37289
13946,25902
3921,7137
33620,64194
28361,50989
23436,44460
19654,37278
25715,49613
12618,23825
14173,26062
5827,10442
5732,10734
12899,23970
9206,16238
11932,21680
18325,34510
11958,22821
17505,33154
8973,17036
15874,29526
6490,11835
10352,19566
10217,19206
13802,25724
10057,19033
12031,22222
5074,9550
8697,16048
9920,17770
12268,23538
43827,82818
7894,14344
13835,25844
18357,34589
12187,22898
6863,12554
11606,21884
8923,17139
33754,64997
13253,24991
10620,19403
17382,32761
15623,30113
4991,9110
37235,71889
33992,63249
36616,71059
17671,33900
55511,109086
10021,19156
3464,6608
8769,16124
15108,27648
20200,38018
7864,14407
10895,20238
25859,49876
6445,11796
13097,24762
12769,23696
21890,41152
9657,18590
19938,37159
38412,74436
16914,31587
11709,22192
12870,23145
41805,77110
12759,23612
21899,41711
12361,23396
12360,22841
1059,1863
3556,6377
17423,33024
8557,16230
25732,48236
11458,21096
12500,23972
31963,59958
18576,34903
7864,14522
13404,24844
3995,7306
30845,56621
14499,27814
15227,29583
13382,25311
16720,31660
22920,43406
10945,21115
13026,23696
7307,13106
5358,10048
19830,37400
4085,7574
19628,37085
18221,34124
11304,21630
